,City,Month,Humidity,AM-PM
0,DAYTONA BEACH,January,87,M
1,FORT MYERS,January,89,M
2,GAINESVILLE,January,88,M
3,JACKSONVILLE,January,87,M
4,KEY WEST,January,82,M
5,MIAMI,January,84,M
6,ORLANDO,January,87,M
7,PENSACOLA,January,82,M
8,TALLAHASSEE,January,86,M
9,TAMPA,January,86,M
10,VERO BEACH,January,88,M
11,WEST PALM BEACH,January,84,M
12,DAYTONA BEACH,January,58,A
13,FORT MYERS,January,55,A
14,GAINESVILLE,January,56,A
15,JACKSONVILLE,January,57,A
16,KEY WEST,January,69,A
17,MIAMI,January,59,A
18,ORLANDO,January,55,A
19,PENSACOLA,January,61,A
20,TALLAHASSEE,January,56,A
21,TAMPA,January,58,A
22,VERO BEACH,January,59,A
23,WEST PALM BEACH,January,59,A
24,DAYTONA BEACH,February,87,M
25,FORT MYERS,February,88,M
26,GAINESVILLE,February,88,M
27,JACKSONVILLE,February,87,M
28,KEY WEST,February,81,M
29,MIAMI,February,83,M
30,ORLANDO,February,87,M
31,PENSACOLA,February,83,M
32,TALLAHASSEE,February,86,M
33,TAMPA,February,86,M
34,VERO BEACH,February,88,M
35,WEST PALM BEACH,February,84,M
36,DAYTONA BEACH,February,56,A
37,FORT MYERS,February,53,A
38,GAINESVILLE,February,53,A
39,JACKSONVILLE,February,54,A
40,KEY WEST,February,68,A
41,MIAMI,February,57,A
42,ORLANDO,February,53,A
43,PENSACOLA,February,59,A
44,TALLAHASSEE,February,53,A
45,TAMPA,February,56,A
46,VERO BEACH,February,57,A
47,WEST PALM BEACH,February,57,A
48,DAYTONA BEACH,March,86,M
49,FORT MYERS,March,87,M
50,GAINESVILLE,March,88,M
51,JACKSONVILLE,March,87,M
52,KEY WEST,March,79,M
53,MIAMI,March,80,M
54,ORLANDO,March,87,M
55,PENSACOLA,March,83,M
56,TALLAHASSEE,March,87,M
57,TAMPA,March,84,M
58,VERO BEACH,March,83,M
59,WEST PALM BEACH,March,81,M
60,DAYTONA BEACH,March,54,A
61,FORT MYERS,March,50,A
62,GAINESVILLE,March,50,A
63,JACKSONVILLE,March,50,A
64,KEY WEST,March,66,A
65,MIAMI,March,55,A
66,ORLANDO,March,50,A
67,PENSACOLA,March,58,A
68,TALLAHASSEE,March,49,A
69,TAMPA,March,54,A
70,VERO BEACH,March,55,A
71,WEST PALM BEACH,March,55,A
72,DAYTONA BEACH,April,84,M
73,FORT MYERS,April,85,M
74,GAINESVILLE,April,87,M
75,JACKSONVILLE,April,86,M
76,KEY WEST,April,76,M
77,MIAMI,April,78,M
78,ORLANDO,April,85,M
79,PENSACOLA,April,86,M
80,TALLAHASSEE,April,87,M
81,TAMPA,April,83,M
82,VERO BEACH,April,81,M
83,WEST PALM BEACH,April,78,M
84,DAYTONA BEACH,April,53,A
85,FORT MYERS,April,47,A
86,GAINESVILLE,April,48,A
87,JACKSONVILLE,April,48,A
88,KEY WEST,April,64,A
89,MIAMI,April,55,A
90,ORLANDO,April,47,A
91,PENSACOLA,April,57,A
92,TALLAHASSEE,April,47,A
93,TAMPA,April,51,A
94,VERO BEACH,April,55,A
95,WEST PALM BEACH,April,55,A
96,DAYTONA BEACH,May,83,M
97,FORT MYERS,May,84,M
98,GAINESVILLE,May,86,M
99,JACKSONVILLE,May,85,M
100,KEY WEST,May,76,M
101,MIAMI,May,79,M
102,ORLANDO,May,85,M
103,PENSACOLA,May,86,M
104,TALLAHASSEE,May,87,M
105,TAMPA,May,82,M
106,VERO BEACH,May,80,M
107,WEST PALM BEACH,May,79,M
108,DAYTONA BEACH,May,56,A
109,FORT MYERS,May,49,A
110,GAINESVILLE,May,48,A
111,JACKSONVILLE,May,51,A
112,KEY WEST,May,66,A
113,MIAMI,May,58,A
114,ORLANDO,May,49,A
115,PENSACOLA,May,58,A
116,TALLAHASSEE,May,48,A
117,TAMPA,May,52,A
118,VERO BEACH,May,59,A
119,WEST PALM BEACH,May,59,A
120,DAYTONA BEACH,June,86,M
