,City,Month,Temperature,Type
0,DAYTONA,January,15,Record minimum
1,FORT MYERS,January,27,Record minimum
2,GAINESVILLE,January,10,Record minimum
3,JACKSONVILLE,January,7,Record minimum
4,KEY WEST,January,41,Record minimum
5,MIAMI,January,30,Record minimum
6,ORLANDO,January,19,Record minimum
7,PENSACOLA,January,5,Record minimum
8,TALLAHASSEE,January,6,Record minimum
9,TAMPA,January,21,Record minimum
10,VERO BEACH,January,21,Record minimum
11,WEST PALM BEACH,January,27,Record minimum
12,DAYTONA,February,24,Record minimum
13,FORT MYERS,February,30,Record minimum
14,GAINESVILLE,February,18,Record minimum
15,JACKSONVILLE,February,19,Record minimum
16,KEY WEST,February,45,Record minimum
17,MIAMI,February,35,Record minimum
18,ORLANDO,February,26,Record minimum
19,PENSACOLA,February,13,Record minimum
20,TALLAHASSEE,February,14,Record minimum
21,TAMPA,February,24,Record minimum
22,VERO BEACH,February,28,Record minimum
23,WEST PALM BEACH,February,32,Record minimum
24,DAYTONA,March,26,Record minimum
25,FORT MYERS,March,33,Record minimum
26,GAINESVILLE,March,25,Record minimum
27,JACKSONVILLE,March,23,Record minimum
28,KEY WEST,March,47,Record minimum
29,MIAMI,March,32,Record minimum
30,ORLANDO,March,25,Record minimum
31,PENSACOLA,March,22,Record minimum
32,TALLAHASSEE,March,20,Record minimum
33,TAMPA,March,29,Record minimum
34,VERO BEACH,March,31,Record minimum
35,WEST PALM BEACH,March,30,Record minimum
36,DAYTONA,April,32,Record minimum
37,FORT MYERS,April,39,Record minimum
38,GAINESVILLE,April,32,Record minimum
39,JACKSONVILLE,April,31,Record minimum
40,KEY WEST,April,48,Record minimum
41,MIAMI,April,42,Record minimum
42,ORLANDO,April,38,Record minimum
43,PENSACOLA,April,33,Record minimum
44,TALLAHASSEE,April,29,Record minimum
45,TAMPA,April,40,Record minimum
46,VERO BEACH,April,36,Record minimum
47,WEST PALM BEACH,April,43,Record minimum
48,DAYTONA,May,40,Record minimum
49,FORT MYERS,May,50,Record minimum
50,GAINESVILLE,May,42,Record minimum
51,JACKSONVILLE,May,45,Record minimum
52,KEY WEST,May,63,Record minimum
53,MIAMI,May,55,Record minimum
54,ORLANDO,May,48,Record minimum
55,PENSACOLA,May,45,Record minimum
56,TALLAHASSEE,May,34,Record minimum
57,TAMPA,May,49,Record minimum
58,VERO BEACH,May,47,Record minimum
59,WEST PALM BEACH,May,51,Record minimum
60,DAYTONA,June,52,Record minimum
61,FORT MYERS,June,58,Record minimum
62,GAINESVILLE,June,50,Record minimum
63,JACKSONVILLE,June,47,Record minimum
64,KEY WEST,June,68,Record minimum
65,MIAMI,June,60,Record minimum
66,ORLANDO,June,53,Record minimum
67,PENSACOLA,June,56,Record minimum
68,TALLAHASSEE,June,46,Record minimum
69,TAMPA,June,53,Record minimum
70,VERO BEACH,June,57,Record minimum
71,WEST PALM BEACH,June,61,Record minimum
72,DAYTONA,July,60,Record minimum
73,FORT MYERS,July,66,Record minimum
74,GAINESVILLE,July,61,Record minimum
75,JACKSONVILLE,July,61,Record minimum
76,KEY WEST,July,69,Record minimum
77,MIAMI,July,69,Record minimum
