,City,Month,Precipitation
0,DAYTONA BEACH,January,2.74
1,FORT MYERS,January,1.94
2,GAINESVILLE,January,3.33
3,JACKSONVILLE,January,3.3
4,KEY WEST,January,2.37
5,MIAMI,January,1.62
6,ORLANDO,January,2.74
7,PENSACOLA,January,4.52
8,TALLAHASSEE,January,4.34
9,TAMPA,January,2.23
10,VERO BEACH,January,2.5
11,WEST PALM BEACH,January,3.13
12,DAYTONA BEACH,February,2.78
13,FORT MYERS,February,2.15
14,GAINESVILLE,February,3.2
15,JACKSONVILLE,February,3.19
16,KEY WEST,February,1.73
17,MIAMI,February,2.25
18,ORLANDO,February,2.83
19,PENSACOLA,February,5.11
20,TALLAHASSEE,February,4.85
21,TAMPA,February,2.81
22,VERO BEACH,February,2.67
23,WEST PALM BEACH,February,2.82
24,DAYTONA BEACH,March,4.24
25,FORT MYERS,March,2.88
26,GAINESVILLE,March,4.33
27,JACKSONVILLE,March,3.95
28,KEY WEST,March,2.0
29,MIAMI,March,3.0
30,ORLANDO,March,3.79
31,PENSACOLA,March,5.47
32,TALLAHASSEE,March,5.94
33,TAMPA,March,3.03
34,VERO BEACH,March,4.12
35,WEST PALM BEACH,March,4.59
36,DAYTONA BEACH,April,2.18
37,FORT MYERS,April,2.18
38,GAINESVILLE,April,2.67
39,JACKSONVILLE,April,2.64
40,KEY WEST,April,2.27
41,MIAMI,April,3.14
42,ORLANDO,April,2.49
43,PENSACOLA,April,4.04
44,TALLAHASSEE,April,3.06
45,TAMPA,April,2.03
46,VERO BEACH,April,2.72
47,WEST PALM BEACH,April,3.66
48,DAYTONA BEACH,May,3.13
49,FORT MYERS,May,2.65
50,GAINESVILLE,May,2.48
51,JACKSONVILLE,May,2.48
52,KEY WEST,May,3.51
53,MIAMI,May,5.34
54,ORLANDO,May,3.3
55,PENSACOLA,May,4.08
56,TALLAHASSEE,May,3.47
57,TAMPA,May,2.1
58,VERO BEACH,May,3.36
59,WEST PALM BEACH,May,4.51
60,DAYTONA BEACH,June,5.83
61,FORT MYERS,June,10.09
62,GAINESVILLE,June,7.12
63,JACKSONVILLE,June,6.45
64,KEY WEST,June,5.16
65,MIAMI,June,9.67
66,ORLANDO,June,8.74
67,PENSACOLA,June,5.7
68,TALLAHASSEE,June,7.73
69,TAMPA,June,6.68
70,VERO BEACH,June,6.67
71,WEST PALM BEACH,June,8.3
72,DAYTONA BEACH,July,5.83
73,FORT MYERS,July,9.04
74,GAINESVILLE,July,6.07
75,JACKSONVILLE,July,6.55
76,KEY WEST,July,4.12
77,MIAMI,July,6.5
78,ORLANDO,July,7.1
79,PENSACOLA,July,7.4
80,TALLAHASSEE,July,7.17
81,TAMPA,July,7.07
82,VERO BEACH,July,5.63
83,WEST PALM BEACH,July,5.76
84,DAYTONA BEACH,August,6.4
85,FORT MYERS,August,10.14
86,GAINESVILLE,August,6.39
87,JACKSONVILLE,August,6.8
88,KEY WEST,August,7.34
89,MIAMI,August,8.88
90,ORLANDO,August,7.82
91,PENSACOLA,August,5.78
92,TALLAHASSEE,August,7.35
93,TAMPA,August,7.77
94,VERO BEACH,August,7.03
95,WEST PALM BEACH,August,7.95
96,DAYTONA BEACH,September,6.96
97,FORT MYERS,September,8.31
98,GAINESVILLE,September,4.42
99,JACKSONVILLE,September,8.19
100,KEY WEST,September,8.96
101,MIAMI,September,9.86
102,ORLANDO,September,6.02
103,PENSACOLA,September,6.16
104,TALLAHASSEE,September,4.69
105,TAMPA,September,6.3
106,VERO BEACH,September,6.79
107,WEST PALM BEACH,September,8.35
108,DAYTONA BEACH,October,4.21
109,FORT MYERS,October,2.88
110,GAINESVILLE,October,2.88
111,JACKSONVILLE,October,3.93
112,KEY WEST,October,5.05
113,MIAMI,October,6.33
114,ORLANDO,October,3.29
115,PENSACOLA,October,4.94
116,TALLAHASSEE,October,3.23
117,TAMPA,October,2.26
118,VERO BEACH,October,4.91
119,WEST PALM BEACH,October,5.13
120,DAYTONA BEACH,November,2.69
121,FORT MYERS,November,1.96
122,GAINESVILLE,November,2.06
123,JACKSONVILLE,November,2.11
124,KEY WEST,November,2.14
125,MIAMI,November,3.27
126,ORLANDO,November,2.42
127,PENSACOLA,November,3.85
128,TALLAHASSEE,November,3.5
129,TAMPA,November,1.55
130,VERO BEACH,November,3.28
131,WEST PALM BEACH,November,4.75
132,DAYTONA BEACH,December,2.63
133,FORT MYERS,December,1.71
134,GAINESVILLE,December,2.38
135,JACKSONVILLE,December,2.8
136,KEY WEST,December,2.21
137,MIAMI,December,2.04
138,ORLANDO,December,2.63
139,PENSACOLA,December,4.15
140,TALLAHASSEE,December,3.9
141,TAMPA,December,2.47
142,VERO BEACH,December,2.19
143,WEST PALM BEACH,December,3.38
144,DAYTONA BEACH,Annual,49.62
145,FORT MYERS,Annual,55.93
146,GAINESVILLE,Annual,47.33
147,JACKSONVILLE,Annual,52.39
148,KEY WEST,Annual,46.86
149,MIAMI,Annual,61.9
150,ORLANDO,Annual,53.17
151,PENSACOLA,Annual,61.2
152,TALLAHASSEE,Annual,59.23
153,TAMPA,Annual,46.3
154,VERO BEACH,Annual,51.87
155,WEST PALM BEACH,Annual,62.33
