,City,Month,Temperature,Type
0,DAYTONA,January,47.3,Normal minimum
1,FORT MYERS,January,53.7,Normal minimum
2,GAINESVILLE,January,42.3,Normal minimum
3,JACKSONVILLE,January,41.4,Normal minimum
4,KEY WEST,January,64.0,Normal minimum
5,MIAMI,January,59.9,Normal minimum
6,ORLANDO,January,49.8,Normal minimum
7,PENSACOLA,January,42.0,Normal minimum
8,TALLAHASSEE,January,39.0,Normal minimum
9,TAMPA,January,51.6,Normal minimum
10,VERO BEACH,January,51.7,Normal minimum
11,WEST PALM BEACH,January,56.8,Normal minimum
12,DAYTONA,February,50.1,Normal minimum
13,FORT MYERS,February,55.9,Normal minimum
14,GAINESVILLE,February,45.3,Normal minimum
15,JACKSONVILLE,February,44.7,Normal minimum
16,KEY WEST,February,65.9,Normal minimum
17,MIAMI,February,62.3,Normal minimum
18,ORLANDO,February,53.4,Normal minimum
19,PENSACOLA,February,45.3,Normal minimum
20,TALLAHASSEE,February,41.9,Normal minimum
21,TAMPA,February,54.4,Normal minimum
22,VERO BEACH,February,54.1,Normal minimum
23,WEST PALM BEACH,February,59.1,Normal minimum
24,DAYTONA,March,54.2,Normal minimum
25,FORT MYERS,March,59.4,Normal minimum
26,GAINESVILLE,March,50.0,Normal minimum
27,JACKSONVILLE,March,49.7,Normal minimum
28,KEY WEST,March,68.3,Normal minimum
29,MIAMI,March,64.9,Normal minimum
30,ORLANDO,March,57.2,Normal minimum
31,PENSACOLA,March,50.5,Normal minimum
32,TALLAHASSEE,March,47.1,Normal minimum
33,TAMPA,March,58.2,Normal minimum
34,VERO BEACH,March,57.6,Normal minimum
35,WEST PALM BEACH,March,62.2,Normal minimum
36,DAYTONA,April,58.6,Normal minimum
37,FORT MYERS,April,63.1,Normal minimum
38,GAINESVILLE,April,54.9,Normal minimum
39,JACKSONVILLE,April,54.7,Normal minimum
40,KEY WEST,April,71.6,Normal minimum
41,MIAMI,April,68.3,Normal minimum
42,ORLANDO,April,61.7,Normal minimum
43,PENSACOLA,April,57.0,Normal minimum
